serie,t_s,cm,v_cm_s,a_cm_s2
Serie 1,0.00,15.24,0.0,0.0
Serie 1,0.25,15.24,0.0,0.0
Serie 1,0.50,15.24,0.0,0.0
Serie 1,0.75,15.24,0.0,0.0
Serie 1,1.00,15.24,0.0,0.0
Serie 1,1.25,15.24,0.0,0.0
Serie 1,1.50,15.24,0.0,0.0
Serie 1,1.75,15.24,0.0,0.0
Serie 1,2.00,15.24,0.0,0.0
Serie 1,2.25,15.24,0.0,0.0
Serie 1,2.50,15.24,0.0,0.0
Serie 1,2.75,15.24,0.0,0.0
Serie 1,3.00,15.24,0.0,0.0
Serie 1,3.25,15.24,0.0,0.0
Serie 1,3.50,15.24,0.0,0.0
Serie 1,3.75,15.24,0.0,0.0
Serie 1,4.00,15.24,0.0,0.0
Serie 1,4.25,15.24,0.0,0.0
Serie 1,4.50,15.24,0.0,0.0
Serie 1,4.75,15.24,0.0,0.0
Serie 1,5.00,16.764,2.6024322,4.443998
Serie 1,5.25,30.48,26.072748,44.60553
Serie 1,5.50,43.18,45.629164,74.36242
Serie 1,5.75,52.323996,42.594156,37.193664
Serie 1,6.00,58.927996,36.032384,-1.7237282
Serie 1,6.25,62.991996,25.6887152,-23.225844
Serie 1,6.50,63.5,13.180226,-42.248812
Serie 1,6.75,62.991996,3.64345,-43.41988
Serie 1,7.00,58.927996,-6.271509,-41.145124
Serie 1,7.25,53.339996,-16.482069,-41.89613
Serie 1,7.50,45.2119968,-24.99677,-38.646792
Serie 1,7.75,35.559996,-33.71792,-36.367652
Serie 1,8.00,22.352002,-43.720912,-38.369204
Serie 1,8.25,15.24,-40.855616,-18.112388
Serie 1,8.50,15.24,-19.982582,34.210276
Serie 1,8.75,15.24,-6.94696436,55.47508
Serie 1,9.00,15.24,-2.4314764,38.093524
Serie 1,9.25,15.24,0.0,23.444008
Serie 1,9.50,15.24,0.0,10.160229
Serie 1,9.75,15.24,0.0,2.3726022
Serie 1,10.00,15.24,0.0,0.8312688
Serie 1,10.25,15.24,0.0,0.0
Serie 1,10.50,17.779998,4.3373712,7.406613
Serie 1,10.75,30.988,26.799246,45.605764
Serie 1,11.00,44.196,46.060992,72.86383
Serie 1,11.25,54.355996,45.49403,41.250928
Serie 1,11.50,60.96,37.726252,0.0170860284
Serie 1,11.75,65.024,26.233656,-26.505392
Serie 1,12.00,66.04,14.386455,-42.63886
Serie 1,12.25,65.532,4.5162408,-43.738964
Serie 1,12.50,61.975996,-5.2271596,-41.588384
Serie 1,12.75,56.388,-15.472976,-41.637104
Serie 1,13.00,48.260004,-24.823492,-40.191144
Serie 1,13.25,38.1,-34.361676,-39.095396
Serie 1,13.50,25.4,-43.721116,-38.963152
Serie 1,13.75,15.747998,-44.492188,-23.788966
Serie 1,14.00,15.24,-25.197114,25.230264
Serie 1,14.25,15.24,-8.518828,58.08913
Serie 1,14.50,15.24,-3.4734824,43.43648
Serie 1,14.75,15.24,-0.17367362,26.551864
Serie 1,15.00,15.24,0.0,13.369287
Serie 1,15.25,15.24,0.0,3.1501484
Serie 1,15.50,16.764,2.6029618,5.6333148
Serie 1,15.75,31.495996,27.76648,47.486636
Serie 1,16.00,45.72,50.059092,82.07809
Serie 1,16.25,57.912,50.750656,48.81474
Serie 1,16.50,66.54801,45.473248,8.391685
Serie 1,16.75,72.644,34.193012,-20.422334
Serie 1,17.00,75.69199,22.8007452,-40.42998
Serie 1,17.25,76.2,11.120171,-45.13383
Serie 1,17.50,73.6599936,-0.341969,-47.294724
Serie 1,17.75,69.088,-10.931434,-45.551804
Serie 1,18.00,62.483996,-19.779514,-41.098024
Serie 1,18.25,46.736,-40.59781,-58.190292
Serie 1,18.50,43.18,-36.781244,-35.671416
Serie 1,18.75,29.972,-36.321596,-2.8265178
Serie 1,19.00,16.763998,-51.701492,-31.284746
Serie 1,19.25,15.24,-30.84224,10.802287
Serie 1,19.50,15.24,-11.638318,63.439372
Serie 1,19.75,15.24,-5.0315104,46.019696
Serie 1,20.00,15.24,-0.5215605,32.73342
Serie 1,20.25,15.24,0.0,17.44296
Serie 1,20.50,15.24,0.0,4.691392
Serie 1,20.75,15.24,0.0,1.72016368
Serie 1,21.00,15.24,0.0,0.17831016
Serie 1,21.25,15.24,0.0,0.0
Serie 1,21.50,15.24,0.0,0.0
Serie 1,21.75,15.24,0.0,0.0
Serie 1,22.00,15.24,0.0,0.0
Serie 1,22.25,15.24,0.0,0.0
Serie 1,22.50,15.24,0.0,0.0
Serie 1,22.75,15.24,0.0,0.0
Serie 1,23.00,18.288,5.2059236,8.891613
Serie 1,23.25,33.02,30.424398,52.060964
Serie 1,23.50,44.196,45.36558,70.48513
Serie 1,23.75,52.832,39.917096,26.614774
Serie 1,24.00,57.404,31.46752,-10.037878
Serie 1,24.25,60.96,20.646886,-29.666084
Serie 1,24.50,60.96,10.589104,-40.41136
Serie 1,24.75,57.912,-2.4356942,-46.078312
Serie 1,25.00,53.339996,-11.820619,-45.476536
Serie 1,25.25,46.227996,-20.9980852,-39.595624
Serie 1,25.50,37.084,-30.370032,-39.3434216
Serie 1,25.75,25.4,-39.627148,-38.21677
Serie 1,26.00,15.747998,-41.985776,-26.170456
Serie 1,26.25,15.24,-24.513372,19.486608
Serie 1,26.50,15.24,-8.154536,53.807192
Serie 1,26.75,15.24,-3.4734824,41.10278
Serie 1,27.00,15.24,-0.17385318,25.256286
Serie 1,27.25,15.24,0.0,13.135531
Serie 1,27.50,15.24,0.0,3.0282566
Serie 1,27.75,15.24,0.0,1.1875079
Serie 1,28.00,15.24,0.0,0.05943847
Serie 1,28.25,15.24,0.0,0.0
Serie 1,28.50,15.24,0.0,0.0
Serie 1,28.75,15.24,0.0,0.0
Serie 1,29.00,15.24,0.0,0.0
Serie 1,29.25,15.24,0.0,0.0
Serie 1,29.50,15.24,0.0,0.0
Serie 1,29.75,15.24,0.0,0.0
Serie 1,30.00,15.24,0.0,0.0
Serie 2,0.00,15.24,0.0,0.0
Serie 2,0.25,15.24,0.0,0.0
Serie 2,0.50,15.24,0.0,0.0
Serie 2,0.75,15.24,0.0,0.0
Serie 2,1.00,15.24,0.0,0.0
Serie 2,1.25,15.24,0.0,0.0
Serie 2,1.50,15.24,0.0,0.0
Serie 2,1.75,15.24,0.0,0.0
Serie 2,2.00,15.24,0.0,0.0
Serie 2,2.25,15.24,0.0,0.0
Serie 2,2.50,15.24,0.0,0.0
Serie 2,2.75,15.24,0.0,0.0
