serie,t_s,cm,v_cm_s,a_cm_s2
Serie 1,0.0,16.763998,-1.735309,-2.963873
Serie 1,0.25,15.24,-4.3454568,-7.493689
Serie 1,0.5,15.24,-2.9546124,-2.6792548
Serie 1,0.75,15.24,-0.8701542,4.469045
Serie 1,1.0,15.24,-0.52102992,3.7397672
Serie 1,1.25,15.24,0.0,2.6719248
Serie 1,1.5,15.24,0.0,1.720871
Serie 1,1.75,15.24,0.0,0.29718444
Serie 1,2.0,15.24,0.0,0.17812878
Serie 1,2.25,15.24,0.0,0.0
Serie 1,2.5,15.24,0.0,0.0
Serie 1,2.75,15.24,0.0,0.0
Serie 1,3.0,19.812,7.809105,13.33817
Serie 1,3.25,33.02,30.380373,51.910404
Serie 1,3.5,45.72,45.88677,67.81347
Serie 1,3.75,56.896004,46.92578,38.692352
Serie 1,4.0,64.008,40.22672,3.3416392
Serie 1,4.25,69.088,29.03356,-24.954064
Serie 1,4.5,71.119992,18.408692,-39.210444
Serie 1,4.75,70.1040036,5.9036096,-45.623656
Serie 1,5.0,66.548004,-5.378317,-48.070996
Serie 1,5.25,61.467996,-14.427218,-42.689936
Serie 1,5.5,53.339996,-24.159388,-40.26301
Serie 1,5.75,43.18,-34.187992,-40.70167
Serie 1,6.0,30.48,-43.63727,-39.757224
Serie 1,6.25,18.287998,-48.923504,-32.01936
Serie 1,6.5,15.24,-33.90147,9.99355
Serie 1,6.75,15.24,-13.72583,55.086408
Serie 1,7.0,15.24,-5.2102236,52.33253
Serie 1,7.25,15.24,-1.0420443,33.7328
Serie 1,7.5,15.24,0.0,18.696314
Serie 1,7.75,15.24,0.0,6.1162184
Serie 1,8.0,15.24,0.0,1.7831036
Serie 1,8.25,15.24,0.0,0.356252232
Serie 2,0.0,20.32,0.0,0.0
Serie 2,0.25,20.32,0.0,0.0
Serie 2,0.5,20.32,0.0,0.0
Serie 2,0.75,20.32,0.0,0.0
Serie 2,1.0,20.32,0.0,0.0
Serie 2,1.25,20.32,0.0,0.0
Serie 2,1.5,20.32,0.0,0.0
Serie 2,1.75,20.32,0.0,0.0
Serie 2,2.0,20.32,0.0,0.0
Serie 2,2.25,20.32,0.0,0.0
Serie 2,2.5,20.32,0.0,0.0
Serie 2,2.75,20.32,0.0,0.0
Serie 2,3.0,20.32,0.0,0.0
Serie 2,3.25,20.32,0.0,0.0
Serie 2,3.5,20.32,0.0,0.0
Serie 2,3.75,21.844,2.6035006,4.447647
Serie 2,4.0,34.036004,23.465408,40.144736
Serie 2,4.25,48.260004,45.71365,74.643132
Serie 2,4.5,59.435996,48.071884,50.04968
Serie 2,4.75,68.072,42.86955,9.880753
Serie 2,5.0,73.6599936,33.07255,-17.287668
Serie 2,5.25,76.2,20.581586,-38.89019
Serie 2,5.5,76.2,9.168374,-45.72989
Serie 2,5.75,74.168,-0.71259944,-44.245496
Serie 2,6.0,69.088,-11.359032,-43.46434
Serie 2,6.25,62.483996,-20.666312,-41.406096
Serie 2,6.5,53.848,-28.535562,-36.45664
Serie 2,6.75,43.18,-37.0202136,-34.800464
Serie 2,7.0,28.956,-47.72526,-38.647904
Serie 2,7.25,17.272,-50.84996,-29.211974
Serie 2,7.5,15.24,-31.923066,20.430488
Serie 2,7.75,17.272,-8.848241,67.00007
Serie 2,8.0,15.24,-4.6845092,51.912936
Serie 2,8.25,15.24,-3.4763548,23.549722
Serie 2,8.5,15.24,0.0,17.32689
Serie 2,8.75,15.24,-0.6954146,6.597059
Serie 2,9.0,15.24,0.0,1.6015316
Serie 2,9.25,15.24,0.0,2.138497
Serie 2,9.5,15.24,0.0,0.0
Serie 2,9.75,15.24,0.0,0.237747084
Serie 2,10.0,15.24,0.0,0.0
Serie 2,10.25,15.24,0.0,0.0
